Country,Coastline ,Infant mortality (per 1000 births),GDP ($ per capita),Arable ,Crops ,Climate,Birthrate,Deathrate,Agriculture
Israel ,"1,31","7,03",19800,"16,39","4,17",3,"17,97","6,18","0,026"
Italy ,"2,52","5,94",26700,"27,79","9,53",,"8,72","10,4","0,021"
Jamaica ,"9,30","12,36",3900,"16,07","10,16",2,"20,82","6,52","0,049"
Japan ,"7,87","3,26",28200,"12,19","0,96",3,"9,37","9,16","0,017"
Jersey ,"60,34","5,24",24800,0,0,3,"9,3","9,28","0,05"
Jordan ,"0,03","17,35",4300,"2,67","1,83",1,"21,25","2,65","0,033"
Kazakhstan ,"0,00","29,21",6300,"7,98","0,05",4,16,"9,42","0,067"
Kenya ,"0,09","61,47",1000,"8,08","0,98","1,5","39,72","14,02","0,163"
Kiribati ,"140,94","48,52",800,"2,74","50,68",2,"30,65","8,26","0,089"
"Korea, North ","2,07","24,04",1300,"20,76","2,49",3,"15,54","7,13","0,3"
"Korea, South ","2,45","7,05",17800,"17,18","1,95",3,10,"5,85","0,033"
Kuwait ,"2,80","9,95",19000,"0,73","0,11",1,"21,94","2,41","0,004"
Kyrgyzstan ,"0,00","35,64",1600,"7,3","0,35","2,5","22,8","7,08","0,353"
Laos ,"0,00","85,22",1700,"3,8","0,35",2,"35,49","11,55","0,455"
Latvia ,"0,82","9,55",10200,"29,67","0,47",3,"9,24","13,66","0,04"
Lebanon ,"2,16","24,52",4800,"16,62","13,98",,"18,52","6,21","0,12"
Lesotho ,"0,00","84,23",3000,"10,87","0,13",3,"24,75","28,71","0,163"
Liberia ,"0,52","128,87",1000,"3,95","2,28",2,"44,77","23,1","0,769"
Libya ,"0,10","24,6",6400,"1,03","0,19",,"26,49","3,48","0,076"
Liechtenstein ,"0,00","4,7",25000,25,0,4,"10,21","7,18","0,06"
Lithuania ,"0,14","6,89",11400,"45,22","0,91",,"8,75","10,98","0,055"
Luxembourg ,"0,00","4,81",55100,"23,28","0,4",,"11,94","8,41","0,01"
Macau ,"146,43","4,39",19400,0,0,2,"8,48","4,47","0,001"
Macedonia ,"0,00","10,09",6700,"22,26","1,81",3,"12,02","8,77","0,118"
Madagascar ,"0,82","76,83",800,"5,07","1,03",2,"41,41","11,11","0,276"
Malawi ,"0,00","103,32",600,"23,38","1,49",2,"43,13","19,33","0,342"
Malaysia ,"1,42","17,7",9000,"5,48","17,61",2,"22,86","5,05","0,084"
Maldives ,"214,67","56,52",3900,"13,33","16,67",2,"34,81","7,06","0,2"
Mali ,"0,00","116,79",900,"3,82","0,03",2,"49,82","16,89","0,45"
Malta ,"62,28","3,89",17700,"28,13","3,13",,"10,22","8,1","0,03"
Marshall Islands ,"3,12","29,45",1600,"16,67","38,89",2,"33,05","4,78","0,317"
Martinique ,"31,82","7,09",14400,"10,38","9,43",2,"13,74","6,48","0,06"
Mauritania ,"0,07","70,89",1800,"0,48","0,01",1,"40,99","12,16","0,25"
Mauritius ,"8,68","15,03",11400,"49,26","2,96",2,"15,43","6,86","0,059"
Mayotte ,"49,52","62,4",2600,,,2,"40,95","7,7",
Mexico ,"0,47","20,91",9000,"12,99","1,31","1,5","20,69","4,74","0,038"
"Micronesia, Fed. St. ","870,66","30,21",2000,"5,71","45,71",2,"24,68","4,75","0,289"
Moldova ,"0,00","40,42",1800,"55,3","10,79",,"15,7","12,64","0,213"
Monaco ,"205,00","5,43",27000,0,0,,"9,19","12,91","0,17"
Mongolia ,"0,00","53,79",1800,"0,77",0,1,"21,59","6,95","0,206"
Montserrat ,"39,22","7,35",3400,20,0,2,"17,59","7,1",
Morocco ,"0,41","41,62",4000,"19,61","2,17",,"21,98","5,58","0,217"
Mozambique ,"0,31","130,79",1200,"5,1","0,3",2,"35,18","21,35","0,262"
Namibia ,"0,19","48,98",7200,"0,99",0,1,"24,32","18,86","0,097"
Nauru ,"142,86","9,95",5000,0,0,2,"24,76","6,7",
Nepal ,"0,00","66,98",1400,"21,68","0,64",,"30,98","9,31","0,38"
Netherlands ,"1,09","5,04",28600,"26,71","0,97",3,"10,9","8,68","0,021"
Netherlands Antilles ,"37,92","10,03",11400,10,0,2,"14,78","6,45","0,01"
New Caledonia ,"11,83","7,72",15000,"0,38","0,33",2,"18,11","5,69","0,15"
New Zealand ,"5,63","5,85",21600,"5,6","6,99",3,"13,76","7,53","0,043"
Nicaragua ,"0,70","29,11",2300,"15,94","1,94",2,"24,51","4,45","0,165"
Niger ,"0,00","121,69",800,"3,54","0,01",1,"50,73","20,91","0,39"
Nigeria ,"0,09","98,8",900,"31,29","2,96","1,5","40,43","16,94","0,269"
N. Mariana Islands ,"310,69","7,11",12500,"13,04","4,35",2,"19,43","2,29",
Norway ,"7,77","3,7",37800,"2,87",0,3,"11,46","9,4","0,021"
Oman ,"0,98","19,51",13100,0,"0,14",1,"36,24","3,81","0,027"
Pakistan ,"0,13","72,44",2100,"27,87","0,87",1,"29,74","8,23","0,216"
Palau ,"331,66","14,84",9000,"8,7","4,35",2,"18,03","6,8","0,062"
Panama ,"3,18","20,47",6300,"7,36","1,98",2,"21,74","5,36","0,068"
Papua New Guinea ,"1,11","51,45",2200,"0,46","1,44",2,"29,36","7,25","0,353"
Paraguay ,"0,00","25,63",4700,"7,6","0,23",2,"29,1","4,49","0,224"
Peru ,"0,19","31,94",5100,"2,89","0,4","1,5","20,48","6,23","0,08"
Philippines ,"12,10","23,51",4600,"18,95","16,77",2,"24,89","5,41","0,144"
Poland ,"0,16","8,51",11100,"45,91","1,12",3,"9,85","9,89","0,05"
Portugal ,"1,94","5,05",18000,"21,75","7,81",3,"10,72","10,5","0,053"
Puerto Rico ,"3,63","8,24",16800,"3,95","5,52",2,"12,77","7,65","0,01"
Qatar ,"4,92","18,61",21500,"1,64","0,27",1,"15,56","4,72","0,002"
Reunion ,"8,22","7,78",5800,"13,6","1,2",2,"18,9","5,49","0,08"
Romania ,"0,09","26,43",7000,"40,82","2,25",3,"10,7","11,77","0,101"
Russia ,"0,22","15,39",8900,"7,33","0,11",,"9,95","14,65","0,054"
Rwanda ,"0,00","91,23",1300,"40,54","12,16",3,"40,37","16,09","0,401"
Saint Helena ,"14,53",19,2500,"12,9",0,,"12,13","6,53",
Saint Kitts & Nevis ,"51,72","14,49",8800,"19,44","2,78",2,"18,02","8,33","0,035"
Saint Lucia ,"25,65","13,53",5400,"6,56","22,95",2,"19,68","5,08","0,07"
St Pierre & Miquelon ,"49,59","7,54",6900,"13,04",0,,"13,52","6,83",
Saint Vincent and the Grenadines ,"21,59","14,78",2900,"17,95","17,95",2,"16,18","5,98","0,1"
Samoa ,"13,69","27,71",5600,"21,2","24,38",2,"16,43","6,62","0,114"
San Marino ,"0,00","5,73",34600,"16,67",0,,"10,02","8,17",
Sao Tome & Principe ,"20,88","43,11",1200,"6,25","48,96",2,"40,25","6,47","0,167"
Saudi Arabia ,"0,13","13,24",11800,"1,67","0,09",1,"29,34","2,58","0,033"
Senegal ,"0,27","55,51",1600,"12,78","0,21",2,"32,78","9,42","0,172"
Serbia ,"0,00","12,89",2200,"33,35","3,2",,,,"0,166"
Seychelles ,"107,91","15,53",7800,"2,22","13,33",2,"16,03","6,29","0,032"
Sierra Leone ,"0,56","143,64",500,"6,98","0,89",2,"45,76","23,03","0,49"
Singapore ,"27,85","2,29",23700,"1,64",0,2,"9,34","4,28",0
Slovakia ,"0,00","7,41",13300,"30,16","2,62",3,"10,65","9,45","0,035"
Slovenia ,"0,23","4,45",19000,"8,6","1,49",,"8,98","10,31","0,028"
Solomon Islands ,"18,67","21,29",1700,"0,64",2,2,"30,01","3,92","0,42"
Somalia ,"0,47","116,7",500,"1,67","0,04",1,"45,13","16,63","0,65"
South Africa ,"0,23","61,81",10700,"12,08","0,79",1,"18,2",22,"0,025"
Spain ,"0,98","4,42",22000,"26,07","9,87",3,"10,06","9,72","0,04"
Sri Lanka ,"2,04","14,35",3700,"13,86","15,7",2,"15,51","6,52","0,178"
Sudan ,"0,03","62,5",1900,"6,83","0,18",2,"34,53","8,97","0,387"
Suriname ,"0,24","23,57",4000,"0,37","0,06",2,"18,02","7,27","0,13"
